wavelength	S-Sdark	Sdark	I	Idark	Wavelength	R	Rdark	Mcorrect	XCorrect	Sc	Ic	Rc	Sc/Rc
nm	counts	counts			nm	uA	uA			counts*Mcorrect		uA*Xcorrect	counts/uA
	Raw CCD Data	Dark Offset CCD				Linear interp of B	Dark Offset Ref	interpolated	Linear interp of B	Dark Corrected CCD		Dark Corrected Ref	Fully Corrected Emission Spectrum
390.467	5912	5855						0.906833928585053		5361.20218579483			1250.29836950816
391.616	7912	5149						0.900264096736908		7122.88953338242			1661.14555302011
392.765	10394	5830						0.89369755089283		9289.09234398008			2166.33072385557
393.914	12506	6138						0.879601729035378		11000.2992233164			2565.40524053661
395.064	14232	5603						0.866992444992065		12339.0364771271			2877.6152538195
396.213	15284	5530						0.855591345071793		13076.8581180773			3049.68434629136
397.363	15360	5206						0.851296873390675		13075.9199752808			3049.46555983859
398.513	14745	6236						0.833838970065117		12294.9556136102			2867.33505361968
399.664	12888	5285						0.817823419094086		10540.1082252846			2458.08303283736
400.814	10704	5511						0.811693396806717		8688.3661194191			2026.23397072817
401.965	8415	5673						0.808270976543427		6801.60026761293			1586.21693977056
403.116	6267	5909						0.805383899688721		5047.34089934921			1177.10205250776
404.267	4193	5861						0.806845749437809		3383.10422739273			788.98156659581
405.418	2768	5703						0.802995802640915		2222.69238171005			518.359234451867
406.57	1796	5187						0.798603775501251		1434.29238080025			334.494645597227
407.721	1079	6098						0.797339213848114		860.329011742115			200.639319940562
408.873	718	5262						0.792383366525173		568.931257165074			132.68177519596
410.025	509	5587						0.787093396484852		400.63053881079			93.4319751598852
411.178	404	5275						0.782729811310768		316.22284376955			73.7470612494136
412.33	295	5967						0.779598570466042		229.981578287482			53.6345361328919
413.483	205	5533						0.77715533965826		159.316844629943			37.1546500528913
414.636	204	5524						0.773063930034637		157.705041727066			36.778757767617
415.789	206	5487						0.767574079334736		158.120260342956			36.8755918619945
416.942	120	5683						0.764814973473549		91.7777968168259			21.4037124026346
418.095	134	5554						0.758959666192532		101.700595269799			23.7178311947934
419.249	138	5647						0.754310080230236		104.094791071773			24.2761871388057
420.403	68	6329						0.749042696177959		50.9349033401012			11.8786466897149
421.557	112	5203						0.746913892745972		83.6543559875488			19.5092259662617
422.711	48	5102						0.744489803671837		35.7355105762482			8.33396112637011
423.865	56	4933						0.741288238763809		41.5121413707733			9.68114256317217
425.02	92	5098						0.737282284498215		67.8299701738358			15.8187843272993
426.175	76	4783						0.73229214400053		55.6542029440403			12.979245472514
427.33	101	5314						0.729671936035156		73.6968655395508			17.1870165736533
428.485	112	5040						0.724908088445663		81.1897059059143			18.9344392166329
429.64	96	5111						0.721931509971619		69.3054249572754			16.1628785520807
430.796	32	5284						0.722750285387039		23.1280091323853			5.39373653633321
431.951	73	4914						0.720120569527149		52.5688015754819			12.2596918786189
433.107	-11	5045						0.718570545256138		-7.90427599781752			-1.84337449880162
434.263	56	4680						0.717710513532162		40.191788757801			9.3732200745279
435.419	-15	4842						0.718622038066387		-10.7793305709958			-2.51387262972762
436.576	92	4696						0.71669925403595		65.9363313713074			15.3771644395972
437.733	54	5029						0.713619389772415		38.5354470477104			8.98694079094448
438.889	78	5006						0.713985792338848		55.6908918024302			12.9878017660904
440.046	100	4560						0.711633763670921		71.1633763670921			16.5961757003349
441.204	81	4185						0.709985836982727		57.5088527956009			13.4117726567263
442.361	45	4544						0.705706898629665		31.7568104383349			7.40607925905768
443.518	20	5023						0.704199115753174		14.0839823150635			3.2845581111198
444.676	67	4829						0.704026958942413		47.1698062491417			11.0005796833372
445.834	105	4928						0.701596156954765		73.6675964802504			17.1801906685947
446.992	122	4858						0.697741871833801		85.1245083637237			19.8520836043732
448.151	41	5009						0.693692776739597		28.4414038463235			6.63288561468593
449.309	145	4134						0.690499822378159		100.122474244833			23.3497939382187
450.468	42	4882						0.689702636480331		28.9675107321739			6.75558021913653
451.627	43	4296						0.686930800139904		29.5380244060159			6.88863103338799
452.786	45	4248						0.684119152188301		30.7853618484735			7.17952548513307
453.945	94	4263						0.683550472259521		64.253744392395			14.9847644361309
455.104	59	4328						0.681973675251007		40.2364468398094			9.38363488918801
456.264	52	4537						0.680827401638031		35.4030248851776			8.25642136886353
457.423	98	4292						0.678744689822197		66.5169796025753			15.512578757441
458.583	155	4300						0.678083486199379		105.102940360904			24.5112999677457
459.743	88	4422						0.675116065323353		59.4102137484551			13.8551934449777
460.904	29	4253						0.674270970821381		19.55385815382			4.56020051474526
462.064	16	4586						0.672095223903656		10.7535235824585			2.50785412220413
463.225	28	4505						0.671147872507572		18.792140430212			4.3825585615326
464.386	70	4744						0.668423616528511		46.7896531569958			10.9119233009062
465.547	48	4445						0.666613503575325		31.9974481716156			7.46219894175873
466.708	98	4111						0.664178503036499		65.0894932975769			15.1796713725333
467.869	24	4753						0.661491177558899		15.8757882614136			3.70242932275447
469.031	104	4498						0.659723632454872		68.6112577753067			16.0009902170201
470.192	75	4377						0.657433628559113		49.3075221419334			11.4991213541421
471.354	77	4106						0.657141960501671		50.5999309586287			11.8005270053846
472.516	24	4010						0.656322654008865		15.7517436962128			3.67350060262005
473.678	72	4031						0.655532531380653		47.198342259407			11.0072346323338
474.841	56	4733						0.653994550824165		36.6236948461533			8.541096635534
476.003	34	4595						0.65433312523365		22.2473262579441			5.18835044496642
477.166	73	4497						0.652472535014152		47.6304950560331			11.1080179861927
478.329	-51	4452						0.650878939032555		-33.1948258906603			-7.74144217078181
479.492	64	4126						0.649310790061951		41.5558905639648			9.69134541376781
480.655	104	4098						0.649775493741035		67.5766513490677			15.7597072579038
481.819	100	4427						0.650590731322765		65.0590731322765			15.1725770153803
482.982	62	4574						0.651559864878654		40.3967116224766			9.42101061006443
484.146	89	4029						0.652539778470993		58.0760402839184			13.5440477635536
485.31	0	4569						0.652109997272491		0			0
486.474	20	4261						0.652217782020569		13.0443556404114			3.04210436825242
487.638	72	4162						0.65232830452919		46.9676379261017			10.9534315408305
488.803	36	4228						0.652081588387489		23.4749371819496			5.47464442968897
489.967	117	3807						0.652176523208618		76.3046532154083			17.795184772903
491.132	32	3959						0.653449621677399		20.9103878936768			4.8765599548772
492.297	16	3974						0.652707483828068		10.4433197412491			2.43551076647192
493.462	5	4140						0.651826938271522		3.25913469135761			0.760070344186762
494.627	8	4657						0.651741655409336		5.21393324327469			1.21595343858949
495.793	38	4522						0.651546330213547		24.7587605481148			5.77404784814349
496.959	93	4622						0.651001789748669		60.5431664466262			14.1194119657801
498.124	28	4364						0.650839629173279		18.2235096168518			4.24994685353171
499.29	83	4136						0.650206108093262		53.9671069717407			12.5857939162644
500.456	72	4475						0.649850030422211		46.7892021903992			10.9118181299425
501.623	108	4385						0.650918572664261		70.2992058477402			16.394640493514
