Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
600	464.386	-4.6615079119157
600	465.547	13.8879029545667
600	466.708	3.58424439462164
600	467.869	-1.71760327405354
600	469.031	10.878903902691
600	470.192	-6.84609843438919
600	471.354	7.40143618695292
600	472.516	1.71308184474107
600	473.678	10.7964598781556
600	474.841	-3.94310886529997
600	476.003	16.3809491619891
600	477.166	23.6920609653114
600	478.329	-9.02094326704809
600	479.492	-7.31763510927783
600	480.655	1.63432160328741
600	481.819	6.17792618241423
600	482.982	24.8147737114727
600	484.146	-19.2720580473872
600	485.31	-3.34670059168258
600	486.474	6.75198901546183
600	487.638	1.10856965029247
600	488.803	11.3379061936975
600	489.967	4.03383910337859
600	491.132	-9.0654319960989
600	492.297	0.51920722129481
600	493.462	-15.2767752888106
600	494.627	-6.82217323360393
600	495.793	-17.4095894990245
