Wavelength, nm	Sc/Rc	Wavelength	Signal	Baseline_Result	Baseline_Y
Raw CCD	counts/uA	nm	Sc/Rc		
	Fully Corrected Emission Spectrum		Water Raman		Baseline of "Signal"
744.793	5.23178598741691				
745.984	14.1929282490737				
747.176	-1.8371895682925				
748.367	13.3399983103082				
749.559	-2.77485444114591				
750.751	-3.49204018084462				
751.943	1.87130669116499				
753.135	-13.1819776050478				
754.327	1.89784776774234				
755.519	-0.714532568873245				
756.711	3.34513263083722				
757.903	-1.68799453495119				
759.095	3.14824652939367				
760.288	-15.7832693089179				
761.48	11.9300465114001				
762.673	7.08279144306886				
763.865	7.64819268431776				
765.058	-4.22259700950737				
766.251	21.3920704174728				
767.443	12.4435648425102				
768.636	0.502822161515592				
769.829	-6.75637820140695				
771.022	-0.50228780640745				
772.215	8.34449819672712				
773.408	-0.254020544193796				
774.602	2.30619147220049				
775.795	0.768533896409555				
776.988	10.0638342328788				
778.182	10.0857835586403				
779.375	-67.7616214905817				
780.568	10.9166491635485				
781.762	11.8050104699317				
782.956	20.2070179657783				
784.149	16.4764300717529				
785.343	19.8275708403546				
786.537	29.663404542397				
787.731	35.2348704335997				
788.925	48.6711174203603				
790.119	37.788792413951				
791.313	11.9149704000356				
792.507	-2.69757537303427				
793.701	32.5422430813145				
794.895	44.0107887601638				
796.089	32.6253564834923				
797.284	38.002932434146				
798.478	26.5318267374614				
799.673	17.0424364467538				
800.867	19.3566220919892				
802.062	10.2613418318979				
803.256	-1.3992738861679				
804.451	6.06352017339421				
805.646	14.6923758047629				
806.84	14.2259511760403				
808.035	13.293101918595				
809.23	18.6569851489053				
810.425	-3.96460934414237				
811.62	0.466424628722632				
812.815	9.56170488881395				
814.01	0.233212314361316				
815.205	2.79854777233579				
816.4	6.99636943083947				
817.595	9.32849257445263				
818.79	5.8303078590329				
819.986	4.19782165850368				
821.181	26.1197792084674				
822.376	-9.09528026009132				
823.572	10.4945541462592				
824.767	-1.63248620052921				
825.963	10.4945541462592				
827.158	7.46279405956211				
828.354	-11.6606157180658				
829.55	-4.19782165850368				
